AcedamicpercentageinOperating Systems,percentageinAlgorithms,PercentageinProgrammingConcepts,PercentageinSoftwareEngineering,PercentageinComputerNetworks,hackathons,codingskillsrating,certifications,talentteststaken,olympiads,memorycapabilityscore,Interestedsubjects,Typeofcompanywanttosettlein,ManagementorTechnical,workedinteamsever,SuggestedJobRole
76,80,74,92,71,5,3,r programming,yes,yes,poor,cloud computing,Service Based,Technical,no,Network Security Administrator
83,73,89,62,91,2,8,shell programming,no,no,poor,Management,SAaS services,Management,yes,Applications Developer
77,61,90,64,92,2,7,information security,yes,yes,poor,programming,Service Based,Management,no,Technical Engineer
72,72,85,63,76,0,9,information security,yes,yes,poor,data engineering,Testing and Maintainance Services,Technical,yes,Systems Security Administrator
87,87,67,84,80,1,6,shell programming,yes,no,poor,data engineering,Finance,Technical,yes,Systems Analyst
84,62,65,77,76,2,7,machine learning,yes,yes,excellent,data engineering,Service Based,Management,yes,Portal Administrator
81,94,72,91,71,0,9,information security,no,yes,poor,IOT,Service Based,Management,yes,Project Manager
62,71,82,80,68,5,2,shell programming,yes,no,medium,parallel computing,Web Services,Management,yes,Information Technology Auditor
77,77,68,84,79,6,5,app development,no,yes,excellent,cloud computing,BPA,Technical,yes,Web Developer
60,85,88,70,77,6,1,app development,yes,yes,medium,Management,Cloud Services,Technical,no,Database Manager
81,65,65,65,78,4,9,python,yes,yes,poor,programming,Testing and Maintainance Services,Technical,yes,Business Systems Analyst
80,77,74,75,86,2,5,r programming,yes,no,medium,parallel computing,SAaS services,Management,no,Design & UX
90,64,86,62,88,2,7,information security,no,no,poor,IOT,Service Based,Technical,no,Systems Security Administrator
89,86,90,88,89,4,3,full stack,yes,yes,excellent,hacking,BPA,Technical,yes,Solutions Architect
69,75,61,71,63,5,4,shell programming,yes,yes,poor,Computer Architecture,Service Based,Management,no,Systems Analyst
66,68,65,62,78,2,4,machine learning,yes,yes,medium,Computer Architecture,SAaS services,Technical,yes,Database Manager
88,69,64,94,81,3,4,r programming,yes,yes,medium,Software Engineering,Testing and Maintainance Services,Technical,no,CRM Business Analyst
71,89,89,67,79,2,5,machine learning,no,no,poor,networks,Finance,Management,yes,Programmer Analyst
65,80,69,74,65,0,9,app development,no,no,excellent,Software Engineering,Web Services,Management,no,Design & UX
86,79,90,65,75,6,9,shell programming,no,yes,medium,IOT,Product based,Management,yes,Network Engineer
71,75,62,72,86,5,6,r programming,yes,no,poor,cloud computing,BPA,Management,yes,Software Developer
67,67,80,86,65,2,7,hadoop,no,yes,excellent,hacking,Product based,Technical,no,Software Quality Assurance (QA) / Testing
85,74,80,83,70,6,4,app development,yes,yes,poor,IOT,Testing and Maintainance Services,Technical,yes,Portal Administrator
76,81,91,69,63,3,3,r programming,no,no,excellent,data engineering,SAaS services,Technical,no,Technical Services/Help Desk/Tech Support
76,71,90,83,64,1,2,distro making,no,yes,poor,Management,SAaS services,Technical,yes,Applications Developer
85,68,80,85,92,3,2,hadoop,no,no,medium,Computer Architecture,Sales and Marketing,Technical,yes,Network Engineer
69,93,87,60,88,4,1,shell programming,no,no,excellent,cloud computing,BPA,Technical,yes,Web Developer
67,65,92,77,83,4,5,hadoop,yes,yes,poor,networks,Product based,Technical,yes,Programmer Analyst
73,77,64,60,81,6,4,app development,no,no,poor,programming,Service Based,Technical,no,Database Administrator
62,87,93,82,69,0,6,machine learning,no,no,poor,parallel computing,Testing and Maintainance Services,Management,no,Programmer Analyst
70,77,70,69,82,3,7,hadoop,yes,no,medium,data engineering,BPA,Management,no,Systems Analyst
69,87,94,64,89,4,2,information security,yes,no,medium,hacking,Testing and Maintainance Services,Management,yes,UX Designer
79,70,89,91,63,0,4,full stack,yes,yes,medium,networks,product development,Management,yes,Network Security Administrator
71,61,93,88,88,5,8,machine learning,no,no,poor,IOT,Finance,Management,no,Network Security Engineer
75,94,76,78,68,1,5,python,yes,yes,medium,data engineering,Service Based,Management,no,Database Developer
90,62,64,85,81,1,4,app development,no,yes,excellent,parallel computing,Service Based,Management,yes,Software Engineer
64,94,84,84,75,3,6,app development,yes,yes,excellent,parallel computing,Cloud Services,Technical,no,Mobile Applications Developer
87,78,77,69,92,4,6,full stack,yes,no,poor,networks,Product based,Management,yes,Network Security Administrator
75,94,72,91,67,0,7,python,no,no,poor,hacking,Testing and Maintainance Services,Technical,yes,Database Administrator
68,70,73,91,67,4,4,app development,yes,no,poor,IOT,Service Based,Technical,no,Business Systems Analyst
63,76,83,76,74,4,8,distro making,no,yes,poor,parallel computing,Web Services,Technical,no,Technical Support
93,85,66,90,90,3,3,distro making,no,no,poor,Computer Architecture,Testing and Maintainance Services,Management,yes,Information Technology Manager
67,74,73,70,77,1,3,full stack,no,yes,poor,hacking,Finance,Management,no,Software Systems Engineer
84,78,61,71,86,4,6,python,yes,yes,excellent,networks,Web Services,Management,no,Network Engineer
80,69,74,64,60,3,1,full stack,yes,yes,poor,Software Engineering,BPA,Management,no,Technical Services/Help Desk/Tech Support
64,76,88,76,60,4,7,python,yes,no,medium,IOT,BPA,Management,no,Mobile Applications Developer
84,79,74,87,82,2,4,app development,no,yes,medium,programming,Product based,Technical,yes,Mobile Applications Developer
60,60,62,84,70,4,1,machine learning,yes,yes,medium,data engineering,Cloud Services,Management,no,Design & UX
88,68,91,88,79,3,8,full stack,no,yes,medium,cloud computing,BPA,Technical,yes,Data Architect
65,60,70,68,72,1,7,information security,yes,no,poor,networks,Testing and Maintainance Services,Technical,yes,Network Security Administrator
72,90,64,65,68,5,4,r programming,yes,yes,excellent,networks,BPA,Technical,no,Network Engineer
79,92,67,93,81,1,3,hadoop,no,no,medium,programming,Product based,Management,no,Network Security Administrator
86,76,77,67,91,2,2,r programming,yes,yes,poor,networks,Sales and Marketing,Management,no,Software Systems Engineer
72,83,68,85,66,1,1,full stack,yes,no,poor,data engineering,product development,Management,no,Software Quality Assurance (QA) / Testing
79,86,60,62,75,2,6,information security,yes,no,poor,data engineering,Service Based,Management,no,Network Engineer
79,78,92,87,64,6,3,machine learning,yes,yes,medium,networks,Testing and Maintainance Services,Technical,no,Project Manager
65,86,61,77,70,4,8,hadoop,no,no,medium,data engineering,BPA,Technical,no,Network Security Engineer
65,78,85,78,85,4,9,hadoop,yes,no,excellent,hacking,product development,Management,no,Database Developer
92,78,82,63,66,1,2,distro making,no,yes,poor,programming,Testing and Maintainance Services,Management,no,UX Designer
85,68,60,75,93,6,3,python,no,no,medium,Software Engineering,Testing and Maintainance Services,Management,yes,Applications Developer
86,77,60,79,70,0,8,full stack,no,yes,excellent,cloud computing,Cloud Services,Management,yes,Network Engineer
87,61,71,60,93,5,4,machine learning,yes,no,medium,parallel computing,Cloud Services,Technical,yes,Network Security Administrator
64,72,84,78,69,1,2,information security,yes,yes,medium,networks,BPA,Technical,no,Mobile Applications Developer
60,62,71,90,76,5,9,full stack,no,yes,excellent,Management,BPA,Technical,yes,Information Security Analyst
73,71,75,86,68,2,1,r programming,yes,yes,medium,programming,SAaS services,Management,no,Project Manager
90,83,61,76,88,5,7,information security,yes,no,medium,parallel computing,product development,Technical,yes,Mobile Applications Developer
67,71,93,86,66,2,2,distro making,yes,yes,poor,Computer Architecture,Web Services,Management,yes,CRM Technical Developer
68,77,73,83,92,2,9,r programming,no,yes,medium,programming,BPA,Technical,yes,Software Quality Assurance (QA) / Testing
65,82,75,75,63,0,5,hadoop,no,no,excellent,parallel computing,BPA,Management,no,Systems Security Administrator
63,85,92,64,60,5,1,full stack,yes,no,medium,programming,Web Services,Technical,no,Mobile Applications Developer
60,82,64,74,61,5,4,information security,no,no,poor,Software Engineering,Testing and Maintainance Services,Management,yes,Software Engineer
70,91,67,68,94,3,5,shell programming,no,no,poor,cloud computing,SAaS services,Technical,no,Software Systems Engineer
81,81,74,61,77,3,8,distro making,yes,no,excellent,networks,product development,Management,no,Network Security Engineer
78,76,72,90,89,2,5,shell programming,no,no,medium,programming,Service Based,Technical,yes,Software Engineer
75,82,73,74,71,6,4,shell programming,yes,yes,excellent,programming,Testing and Maintainance Services,Technical,yes,Design & UX
93,85,66,92,67,3,2,python,no,yes,medium,Software Engineering,SAaS services,Management,yes,Database Administrator
66,66,70,63,65,0,4,r programming,no,yes,poor,data engineering,Testing and Maintainance Services,Technical,no,Systems Analyst
77,66,80,62,77,4,3,full stack,yes,yes,poor,Computer Architecture,Service Based,Management,yes,Systems Analyst
82,80,61,84,70,3,7,information security,yes,yes,medium,Computer Architecture,Testing and Maintainance Services,Technical,yes,E-Commerce Analyst
71,92,90,92,89,2,4,app development,yes,yes,medium,programming,Testing and Maintainance Services,Management,yes,Quality Assurance Associate
66,76,61,70,91,6,1,distro making,no,no,poor,Software Engineering,Web Services,Management,no,Information Technology Auditor
78,77,68,93,86,0,7,distro making,yes,yes,excellent,data engineering,Product based,Management,yes,CRM Business Analyst
72,68,64,71,82,5,3,distro making,yes,no,excellent,parallel computing,product development,Management,yes,Database Administrator
78,86,93,64,61,6,1,distro making,yes,yes,poor,IOT,Product based,Management,no,Information Technology Manager
85,74,69,73,71,1,5,python,yes,no,excellent,networks,Finance,Technical,no,Programmer Analyst
74,79,94,92,72,4,6,information security,yes,no,medium,cloud computing,product development,Management,yes,Systems Security Administrator
89,61,88,86,75,1,9,python,yes,no,poor,Computer Architecture,Sales and Marketing,Technical,no,Quality Assurance Associate
87,94,60,92,62,0,3,information security,yes,no,medium,Management,BPA,Technical,yes,CRM Business Analyst
78,73,77,83,67,5,2,distro making,yes,no,excellent,Software Engineering,Sales and Marketing,Management,no,CRM Business Analyst
71,81,80,84,61,1,5,distro making,no,no,medium,programming,Testing and Maintainance Services,Management,yes,Software Quality Assurance (QA) / Testing
84,75,86,86,69,4,7,r programming,no,no,excellent,networks,Testing and Maintainance Services,Management,no,Network Engineer
66,93,88,84,70,0,7,distro making,no,no,medium,data engineering,Testing and Maintainance Services,Technical,no,Programmer Analyst
68,84,76,66,79,4,3,distro making,yes,yes,poor,hacking,Service Based,Management,yes,Software Quality Assurance (QA) / Testing
79,69,92,73,87,4,3,machine learning,yes,no,poor,IOT,Testing and Maintainance Services,Technical,no,Network Security Engineer
73,66,80,81,78,4,4,distro making,yes,no,excellent,IOT,BPA,Management,no,Programmer Analyst
65,61,73,87,83,1,8,app development,no,no,excellent,cloud computing,Service Based,Technical,no,Software Developer
63,85,81,92,69,1,7,full stack,yes,yes,poor,parallel computing,Service Based,Technical,yes,Business Systems Analyst
81,68,73,81,90,6,5,python,yes,no,excellent,parallel computing,Web Services,Management,yes,Business Systems Analyst
75,81,71,68,67,6,1,machine learning,no,yes,medium,hacking,BPA,Technical,yes,Solutions Architect
85,64,70,70,66,6,2,full stack,no,yes,excellent,networks,Sales and Marketing,Technical,no,Project Manager
63,91,72,86,65,4,3,shell programming,no,yes,poor,networks,product development,Technical,yes,Information Security Analyst
60,61,94,69,73,5,7,app development,yes,yes,poor,IOT,Web Services,Technical,yes,Network Security Administrator
86,82,69,88,76,4,8,hadoop,yes,no,poor,hacking,Sales and Marketing,Technical,yes,Network Security Administrator
61,79,69,74,68,0,5,machine learning,no,no,excellent,parallel computing,Product based,Management,no,Information Security Analyst
81,71,81,75,64,2,2,app development,no,no,poor,Management,Cloud Services,Management,yes,Network Security Administrator
60,74,71,79,73,3,5,r programming,no,no,poor,Computer Architecture,Cloud Services,Management,yes,CRM Technical Developer
81,80,70,87,82,0,1,machine learning,yes,no,poor,cloud computing,Service Based,Management,yes,Network Security Administrator
78,74,61,93,87,1,4,full stack,yes,yes,medium,data engineering,Web Services,Technical,yes,Database Manager
87,85,68,78,75,3,2,python,yes,no,medium,Management,Testing and Maintainance Services,Management,yes,Database Manager
87,89,61,87,63,1,3,r programming,yes,no,medium,IOT,SAaS services,Technical,yes,Database Administrator
75,76,66,77,70,6,2,r programming,no,yes,poor,hacking,SAaS services,Technical,yes,Solutions Architect
75,86,92,73,78,1,3,r programming,yes,no,poor,cloud computing,Product based,Management,yes,Information Security Analyst
79,80,72,74,72,2,8,full stack,yes,no,medium,hacking,SAaS services,Technical,no,Mobile Applications Developer
90,72,68,62,84,5,2,python,no,no,poor,networks,SAaS services,Management,yes,Systems Security Administrator
76,74,72,66,92,1,9,r programming,yes,yes,medium,hacking,SAaS services,Management,no,Information Technology Auditor
72,75,80,87,85,6,8,information security,yes,yes,excellent,hacking,Sales and Marketing,Management,no,Software Engineer
71,74,91,73,75,6,8,machine learning,yes,no,excellent,data engineering,Web Services,Management,no,Business Systems Analyst
76,88,85,66,68,1,3,information security,yes,no,excellent,hacking,Testing and Maintainance Services,Management,yes,Software Systems Engineer
63,88,81,60,81,1,2,r programming,yes,yes,medium,hacking,Product based,Technical,no,Network Security Administrator
65,67,88,83,78,5,8,full stack,no,no,excellent,Software Engineering,Finance,Management,no,Business Intelligence Analyst
62,79,60,63,71,6,3,machine learning,yes,no,medium,Computer Architecture,BPA,Management,no,Network Security Administrator
85,84,84,66,81,3,3,machine learning,no,no,medium,hacking,Finance,Management,no,Database Administrator
83,87,60,74,90,6,3,hadoop,yes,yes,medium,Software Engineering,SAaS services,Technical,no,Software Quality Assurance (QA) / Testing
67,82,60,94,91,3,3,information security,yes,yes,excellent,parallel computing,Cloud Services,Management,no,Software Engineer
70,78,91,91,89,2,5,shell programming,no,no,excellent,hacking,SAaS services,Management,yes,Data Architect
82,86,79,71,71,1,8,app development,no,yes,medium,Computer Architecture,Product based,Technical,no,CRM Technical Developer
76,64,90,87,89,4,3,shell programming,no,no,excellent,Computer Architecture,SAaS services,Management,no,Network Engineer
73,94,74,65,79,1,7,information security,no,yes,poor,programming,Web Services,Management,yes,Systems Analyst
65,91,68,61,60,5,2,r programming,no,no,poor,networks,Web Services,Technical,no,Solutions Architect
72,76,64,66,89,1,9,app development,yes,no,medium,programming,BPA,Technical,no,Information Security Analyst
66,94,63,60,79,6,4,r programming,no,yes,poor,networks,Product based,Management,no,Network Security Administrator
75,61,81,89,79,2,2,hadoop,yes,no,poor,parallel computing,Testing and Maintainance Services,Technical,yes,Software Systems Engineer
79,90,60,64,84,1,5,information security,no,no,medium,Computer Architecture,Sales and Marketing,Technical,yes,Information Technology Manager
71,61,91,85,66,0,4,full stack,no,no,poor,Software Engineering,BPA,Management,yes,Network Engineer
78,64,62,86,67,6,8,machine learning,no,no,excellent,programming,BPA,Management,yes,Portal Administrator
92,83,89,76,89,2,8,information security,yes,yes,poor,cloud computing,Product based,Technical,yes,Portal Administrator
73,66,78,74,70,6,9,app development,yes,no,medium,programming,SAaS services,Technical,yes,Database Administrator
92,86,63,67,64,4,8,r programming,no,no,poor,hacking,Finance,Technical,no,Web Developer
93,60,89,64,81,6,5,hadoop,no,yes,poor,networks,Service Based,Management,no,Mobile Applications Developer
87,83,94,80,83,4,9,full stack,no,no,poor,networks,Testing and Maintainance Services,Management,no,Information Technology Auditor
81,65,62,86,65,0,3,r programming,yes,no,excellent,IOT,Web Services,Technical,yes,Quality Assurance Associate
88,89,85,61,94,4,2,app development,no,yes,poor,data engineering,Cloud Services,Technical,no,Information Security Analyst
69,92,72,81,88,1,2,r programming,yes,yes,medium,hacking,Finance,Technical,yes,Database Administrator
87,79,82,80,94,1,8,python,no,yes,poor,hacking,BPA,Technical,yes,Solutions Architect
94,82,65,90,80,1,4,distro making,no,no,medium,Computer Architecture,product development,Technical,no,Software Developer
85,66,63,85,87,1,6,full stack,yes,no,poor,programming,Testing and Maintainance Services,Technical,no,Business Intelligence Analyst
75,64,60,94,88,2,5,distro making,no,yes,poor,Management,Web Services,Technical,no,UX Designer
73,91,64,86,80,6,9,machine learning,no,no,poor,Software Engineering,SAaS services,Management,yes,Programmer Analyst
85,81,68,62,66,4,7,full stack,no,no,poor,Management,Finance,Management,no,Quality Assurance Associate
71,75,76,87,66,4,7,r programming,no,no,medium,Computer Architecture,BPA,Management,yes,UX Designer
89,67,63,66,63,0,9,app development,no,no,poor,Management,Finance,Management,yes,Solutions Architect
81,68,70,84,88,6,5,distro making,no,yes,medium,IOT,product development,Management,yes,Data Architect
87,79,78,67,89,3,8,full stack,yes,no,poor,networks,product development,Management,yes,Database Administrator
82,84,66,93,84,6,7,machine learning,yes,no,medium,hacking,Finance,Technical,no,Applications Developer
85,94,80,60,91,4,6,information security,no,yes,poor,parallel computing,Product based,Technical,no,Web Developer
63,87,85,90,91,2,7,shell programming,no,no,excellent,data engineering,Product based,Technical,yes,Network Security Administrator
82,68,72,72,92,6,8,app development,yes,no,poor,data engineering,Testing and Maintainance Services,Management,yes,Software Engineer
90,79,89,89,79,1,6,machine learning,no,no,excellent,Management,Cloud Services,Technical,yes,Technical Support
76,63,85,65,83,4,2,python,yes,no,excellent,programming,product development,Management,no,Systems Security Administrator
92,92,78,91,62,2,8,full stack,no,no,excellent,parallel computing,Testing and Maintainance Services,Management,no,Information Security Analyst
86,74,93,92,68,4,3,hadoop,no,yes,medium,cloud computing,Sales and Marketing,Management,no,Technical Engineer
68,60,90,69,89,5,9,full stack,no,no,poor,Management,Sales and Marketing,Management,no,Technical Engineer
74,87,64,84,82,4,7,python,yes,yes,excellent,networks,Finance,Technical,no,Software Developer
68,68,94,77,86,4,3,hadoop,yes,yes,poor,cloud computing,Service Based,Management,yes,Network Security Engineer
66,75,71,60,91,3,5,information security,no,yes,excellent,Computer Architecture,product development,Management,no,Mobile Applications Developer
93,72,70,63,81,0,3,python,yes,yes,medium,Management,Cloud Services,Technical,yes,Quality Assurance Associate
93,92,83,94,78,2,2,app development,no,yes,poor,IOT,Sales and Marketing,Technical,yes,UX Designer
86,93,84,89,66,0,1,machine learning,no,yes,poor,cloud computing,product development,Technical,yes,CRM Technical Developer
71,77,94,69,61,5,6,machine learning,yes,no,excellent,IOT,Product based,Management,yes,Information Technology Manager
73,69,61,74,80,5,2,hadoop,yes,yes,excellent,Software Engineering,Finance,Management,yes,CRM Technical Developer
89,65,69,66,86,1,3,python,no,yes,medium,networks,product development,Technical,no,Database Manager
76,63,76,77,80,0,9,full stack,yes,no,medium,Computer Architecture,Web Services,Management,yes,Quality Assurance Associate
83,60,81,63,74,6,4,information security,yes,no,medium,data engineering,product development,Management,no,CRM Technical Developer
75,63,84,67,64,0,4,app development,yes,yes,poor,data engineering,Cloud Services,Management,no,Portal Administrator
71,84,77,71,94,6,8,app development,no,yes,medium,Management,Cloud Services,Management,no,CRM Business Analyst
87,66,79,81,80,6,4,r programming,no,yes,poor,data engineering,Sales and Marketing,Technical,no,Software Engineer
87,79,85,74,66,4,7,python,no,no,excellent,data engineering,SAaS services,Management,no,Network Security Administrator
94,83,70,85,80,0,8,python,yes,yes,poor,Computer Architecture,Product based,Management,no,Technical Services/Help Desk/Tech Support
83,74,65,84,64,2,9,python,yes,yes,medium,parallel computing,SAaS services,Management,yes,Database Manager
87,68,93,76,63,2,2,app development,yes,yes,medium,cloud computing,Cloud Services,Technical,no,CRM Business Analyst
88,69,81,91,78,4,3,r programming,yes,yes,excellent,data engineering,Web Services,Technical,yes,Business Systems Analyst
82,93,91,77,65,3,2,full stack,no,no,medium,IOT,Service Based,Technical,yes,Network Security Administrator
63,88,66,67,69,2,6,full stack,yes,yes,excellent,Software Engineering,product development,Technical,yes,Information Technology Auditor
84,74,89,94,90,6,3,machine learning,yes,no,poor,data engineering,SAaS services,Technical,no,Technical Support
90,65,86,88,72,5,5,r programming,yes,no,medium,programming,Finance,Technical,no,Business Systems Analyst
75,62,64,63,79,5,8,full stack,no,yes,excellent,networks,Sales and Marketing,Technical,no,Information Technology Manager
80,61,90,92,71,6,3,python,no,no,poor,Computer Architecture,Finance,Technical,no,Mobile Applications Developer
75,75,60,82,61,4,2,hadoop,no,no,poor,hacking,SAaS services,Management,no,Quality Assurance Associate
79,94,63,62,90,6,2,app development,no,yes,poor,IOT,Cloud Services,Technical,no,Quality Assurance Associate
94,60,64,84,61,1,7,app development,no,yes,medium,Management,product development,Management,no,Network Engineer
80,70,84,73,77,2,7,distro making,no,no,poor,networks,BPA,Technical,no,Data Architect
60,81,68,62,67,4,4,hadoop,no,yes,medium,programming,BPA,Technical,yes,Software Developer
62,85,81,77,63,4,4,machine learning,no,yes,poor,IOT,Sales and Marketing,Management,yes,Information Security Analyst
73,65,94,85,60,3,4,app development,yes,yes,excellent,parallel computing,Finance,Management,no,Programmer Analyst
65,80,82,72,78,0,2,app development,no,no,medium,Computer Architecture,Product based,Management,yes,Web Developer
79,84,92,89,77,2,7,distro making,yes,no,medium,hacking,Sales and Marketing,Management,no,Software Developer
72,66,85,79,68,3,5,information security,no,no,poor,cloud computing,Sales and Marketing,Technical,no,Database Developer
62,62,94,83,62,4,3,hadoop,yes,no,medium,networks,Testing and Maintainance Services,Management,yes,Programmer Analyst
89,74,63,72,88,4,1,python,no,yes,medium,programming,BPA,Technical,no,Database Administrator
83,83,64,79,92,4,5,distro making,no,yes,poor,Computer Architecture,Product based,Technical,no,Applications Developer
81,69,63,88,87,5,9,shell programming,yes,yes,poor,cloud computing,Finance,Management,no,Systems Analyst
77,63,82,86,81,3,6,information security,no,no,excellent,parallel computing,SAaS services,Technical,no,Project Manager
73,84,75,66,73,0,7,shell programming,yes,no,excellent,Management,Product based,Management,no,CRM Technical Developer
69,74,67,94,78,1,9,distro making,no,no,medium,networks,product development,Technical,yes,Information Security Analyst
74,83,90,70,93,1,4,python,yes,yes,excellent,Software Engineering,Finance,Management,yes,Network Security Engineer
75,73,90,71,85,2,3,machine learning,no,no,excellent,parallel computing,Service Based,Management,no,Network Engineer
70,88,61,91,87,0,8,hadoop,no,yes,medium,Management,Web Services,Management,no,Network Security Engineer
93,72,67,90,93,1,2,shell programming,yes,yes,excellent,cloud computing,Product based,Management,yes,Quality Assurance Associate
69,75,71,90,60,0,5,python,yes,no,poor,Management,Cloud Services,Technical,no,Programmer Analyst
70,84,74,92,86,6,5,information security,no,no,poor,Software Engineering,Product based,Management,yes,Database Developer
66,62,76,81,82,1,7,app development,no,no,excellent,programming,Product based,Technical,no,E-Commerce Analyst
86,80,88,62,69,0,4,distro making,yes,yes,excellent,Software Engineering,Product based,Technical,yes,Software Developer
75,71,85,60,77,2,3,r programming,yes,yes,poor,IOT,Testing and Maintainance Services,Management,yes,CRM Technical Developer
71,83,65,74,93,2,8,shell programming,no,no,medium,Management,Sales and Marketing,Technical,yes,Project Manager
77,84,73,82,69,2,3,app development,no,no,medium,cloud computing,Cloud Services,Management,no,Database Developer
65,68,72,66,66,2,8,python,no,no,medium,IOT,BPA,Management,no,Information Technology Auditor
81,65,65,94,70,2,5,shell programming,yes,yes,medium,Computer Architecture,Testing and Maintainance Services,Management,no,Solutions Architect
80,91,75,73,65,1,6,r programming,no,no,medium,Computer Architecture,product development,Technical,no,Data Architect
67,61,84,80,81,4,5,shell programming,yes,no,medium,cloud computing,Finance,Technical,no,Mobile Applications Developer
62,64,90,76,62,6,2,full stack,yes,no,medium,parallel computing,Testing and Maintainance Services,Management,no,Software Engineer
91,64,62,63,73,6,8,distro making,yes,yes,excellent,data engineering,Testing and Maintainance Services,Management,yes,Technical Services/Help Desk/Tech Support
63,67,67,63,87,3,4,information security,yes,no,medium,parallel computing,Service Based,Management,no,Information Technology Auditor
76,65,77,92,78,2,9,python,no,no,medium,programming,Testing and Maintainance Services,Technical,no,Business Intelligence Analyst
60,70,89,88,83,6,4,python,no,yes,excellent,cloud computing,Product based,Management,yes,Applications Developer
69,79,77,86,91,3,3,app development,no,yes,medium,Management,Finance,Management,yes,Software Quality Assurance (QA) / Testing
79,85,93,72,62,1,7,information security,no,no,poor,IOT,Cloud Services,Management,yes,Software Developer
82,74,90,85,83,2,4,full stack,no,yes,medium,IOT,product development,Technical,no,Network Security Administrator
79,77,60,75,72,4,1,distro making,no,yes,excellent,programming,BPA,Technical,no,Portal Administrator
64,90,82,80,87,2,3,machine learning,no,no,medium,Management,Testing and Maintainance Services,Technical,no,Network Security Administrator
74,73,70,87,85,2,2,shell programming,yes,yes,excellent,IOT,Cloud Services,Management,no,Database Developer
81,90,66,81,63,0,1,app development,yes,yes,excellent,programming,Cloud Services,Technical,no,Design & UX
88,91,92,66,70,1,6,app development,yes,yes,excellent,Software Engineering,Sales and Marketing,Management,no,E-Commerce Analyst
86,78,85,83,86,4,8,machine learning,no,yes,poor,parallel computing,product development,Management,no,Portal Administrator
67,90,80,65,67,5,2,app development,no,yes,medium,Computer Architecture,Product based,Technical,yes,Information Technology Auditor
75,92,76,91,63,1,3,full stack,no,yes,poor,networks,Finance,Management,no,Quality Assurance Associate
72,92,87,84,64,0,6,shell programming,yes,no,excellent,hacking,Service Based,Technical,yes,E-Commerce Analyst
83,85,68,80,63,4,5,shell programming,no,no,excellent,cloud computing,BPA,Technical,no,Business Intelligence Analyst
85,81,73,80,93,4,9,hadoop,yes,yes,medium,cloud computing,Product based,Management,no,Applications Developer
87,84,77,88,76,0,3,python,no,no,poor,Computer Architecture,Service Based,Technical,yes,Database Developer
68,89,81,67,90,4,4,python,yes,no,excellent,data engineering,Testing and Maintainance Services,Management,no,Software Engineer
91,88,69,61,87,4,2,information security,yes,yes,medium,hacking,Product based,Management,yes,Network Security Engineer
78,80,83,94,90,4,4,r programming,no,yes,excellent,cloud computing,SAaS services,Technical,yes,Technical Services/Help Desk/Tech Support
70,85,72,73,88,1,3,python,yes,no,medium,programming,Cloud Services,Management,yes,Database Manager
89,81,71,73,67,3,6,app development,no,no,medium,Management,Finance,Management,yes,Systems Analyst
90,90,64,60,75,2,9,distro making,no,no,poor,IOT,Sales and Marketing,Management,no,Software Systems Engineer
88,90,80,78,80,6,1,hadoop,no,yes,excellent,IOT,Finance,Technical,yes,Project Manager
73,68,73,64,60,2,8,full stack,yes,yes,excellent,parallel computing,Service Based,Management,no,CRM Business Analyst
60,63,65,76,72,4,3,machine learning,yes,yes,excellent,Computer Architecture,Finance,Management,yes,Software Engineer
93,91,85,62,84,1,8,machine learning,yes,no,excellent,Software Engineering,Product based,Technical,no,Design & UX
89,81,64,65,81,1,9,information security,yes,yes,medium,networks,Cloud Services,Technical,no,Applications Developer
87,66,80,61,90,5,5,machine learning,no,yes,medium,Software Engineering,Finance,Management,yes,E-Commerce Analyst
87,88,89,62,72,3,4,r programming,no,yes,poor,hacking,Service Based,Management,yes,E-Commerce Analyst
62,88,88,85,68,6,6,machine learning,no,no,medium,hacking,BPA,Technical,no,Software Systems Engineer
77,61,92,73,90,0,7,full stack,yes,yes,excellent,IOT,BPA,Management,yes,Web Developer
86,82,77,71,68,4,1,r programming,no,yes,poor,cloud computing,Cloud Services,Technical,yes,Software Quality Assurance (QA) / Testing
88,70,81,67,89,4,7,shell programming,no,yes,poor,programming,BPA,Management,yes,Network Security Administrator
64,74,65,84,73,3,4,python,no,no,poor,data engineering,BPA,Management,no,Project Manager
88,66,87,75,79,3,8,distro making,no,no,excellent,hacking,Product based,Technical,no,Web Developer
61,80,76,88,82,3,5,python,yes,no,poor,networks,BPA,Technical,no,Network Security Administrator
65,80,83,63,81,6,7,full stack,yes,yes,medium,IOT,Cloud Services,Management,yes,Technical Engineer
62,91,70,74,88,5,4,shell programming,yes,yes,medium,IOT,Web Services,Management,no,Solutions Architect
75,82,71,84,87,3,7,python,yes,yes,excellent,cloud computing,product development,Technical,no,Project Manager
75,94,74,69,90,0,2,shell programming,yes,no,poor,networks,Sales and Marketing,Technical,yes,Technical Services/Help Desk/Tech Support
91,76,86,79,93,2,1,machine learning,no,yes,excellent,Software Engineering,Web Services,Management,yes,Applications Developer
87,78,76,79,80,1,8,app development,no,yes,excellent,parallel computing,BPA,Management,yes,E-Commerce Analyst
60,87,74,68,68,0,8,hadoop,no,yes,excellent,Software Engineering,Service Based,Management,yes,E-Commerce Analyst
94,76,61,83,88,1,8,hadoop,no,no,poor,networks,Sales and Marketing,Technical,yes,Technical Services/Help Desk/Tech Support
